episode, step, reward, loss
===========================================2019-06-15 22:01:34.171658
18,8,4200.0,1211136.8
18,9,3960.0,2316647.8
19,0,4140.0,1681444.5
19,1,4260.0,2572165.0
19,2,4140.0,1795979.5
19,3,4200.0,2172035.0
19,4,4200.0,1318456.2
19,5,4320.0,891979.4
19,6,4260.0,3363248.0
19,7,4020.0,3589536.0
19,8,4200.0,2650836.2
19,9,4200.0,1848674.8
20,0,4260.0,2207224.5
20,1,4320.0,2155364.0
20,2,4200.0,2630093.5
20,3,4200.0,3085925.5
20,4,4140.0,2163749.0
20,5,4140.0,1613563.8
20,6,4200.0,1237305.0
20,7,3840.0,1835338.4
20,8,3840.0,2417324.5
20,9,4200.0,2718641.0
21,0,4200.0,3623976.5
21,1,4080.0,649349.94
21,2,4200.0,1547654.6
21,3,4200.0,3595424.5
21,4,4260.0,4406312.0
21,5,4260.0,3946883.5
21,6,4200.0,1595590.6
21,7,4200.0,2086695.0
21,8,4320.0,4147047.0
21,9,4200.0,2066128.5
22,0,3900.0,2737957.0
22,1,3900.0,2033074.0
22,2,4200.0,2305346.0
22,3,4260.0,2534100.5
22,4,4140.0,1612407.8
22,5,4140.0,3098143.0
22,6,4080.0,2338430.0
22,7,3780.0,3647706.8
22,8,4260.0,2924358.0
22,9,4260.0,1762759.0
23,0,4200.0,2069975.1
23,1,4200.0,3155189.5
23,2,4440.0,2216880.0
23,3,4200.0,2038669.8
23,4,4200.0,1718646.2
23,5,4140.0,2947623.8
23,6,4200.0,2630784.2
23,7,3900.0,4584612.0
23,8,4200.0,4939509.5
23,9,4140.0,2951106.8
24,0,3960.0,1699530.6
24,1,4260.0,2782970.5
24,2,4200.0,3056198.5
24,3,4200.0,3031065.5
24,4,4260.0,2015225.1
24,5,4200.0,2430042.5
24,6,4200.0,1706455.5
24,7,4200.0,3731329.0
24,8,4140.0,2921958.0
24,9,4140.0,2989772.0
25,0,4620.0,1601631.1
25,1,4200.0,3429641.0
25,2,4200.0,3756765.5
25,3,4260.0,3564155.5
25,4,4200.0,2825882.0
25,5,4200.0,3012620.5
25,6,4200.0,1454432.1
25,7,4020.0,2953425.0
25,8,3960.0,3033960.5
25,9,4080.0,2396536.0
26,0,4140.0,2470113.5
26,1,4200.0,2356454.5
26,2,4200.0,2103170.5
26,3,4260.0,1890918.5
26,4,4200.0,5069248.5
26,5,4080.0,3620247.5
26,6,4200.0,3665043.0
26,7,4200.0,2089393.2
26,8,4140.0,1171464.5
26,9,4140.0,4138832.0
27,0,4200.0,3199447.0
27,1,4200.0,2470451.2
27,2,4200.0,3485891.2
27,3,4200.0,3816870.2
27,4,4200.0,3554544.8
27,5,4200.0,3677368.2
27,6,4260.0,5586884.0
27,7,4200.0,5884243.0
27,8,4260.0,2290270.0
27,9,4140.0,2318192.5
28,0,4380.0,5306352.0
28,1,4200.0,4528988.0
28,2,4260.0,3553643.5
28,3,4260.0,3375409.0
28,4,4260.0,4419482.5
28,5,4200.0,4616343.0
28,6,4140.0,1968957.0
28,7,4200.0,2204186.5
28,8,4020.0,2775516.2
28,9,4200.0,3844211.0
29,0,4140.0,1811315.9
29,1,4200.0,2689247.5
29,2,4200.0,3370701.8
29,3,4140.0,5244023.0
29,4,4200.0,6589683.0
29,5,4140.0,2958373.2
29,6,4140.0,4824124.0
29,7,4140.0,4690966.5
29,8,4200.0,3018255.8
29,9,4200.0,4321539.0
30,0,4020.0,4078253.2
30,1,4140.0,4441766.5
30,2,4620.0,1158592.2
30,3,4200.0,2078925.9
30,4,4200.0,5623992.0
30,5,4200.0,4151154.5
30,6,4380.0,2332786.2
30,7,4260.0,3766466.0
30,8,4140.0,2138712.0
30,9,4260.0,2313232.5
31,0,4140.0,4323903.0
31,1,4200.0,2144276.5
31,2,4200.0,4151587.8
31,3,3960.0,1917373.0
31,4,4200.0,2602887.8
31,5,4140.0,2759873.2
31,6,4140.0,800740.75
31,7,4260.0,3977507.0
31,8,4200.0,7897192.5
31,9,3960.0,6077196.5
32,0,4080.0,2535292.5
32,1,4200.0,2279779.5
32,2,4620.0,3835230.8
32,3,4680.0,3814099.0
32,4,4740.0,3739964.0
32,5,4200.0,5768039.0
32,6,4200.0,2770350.5
32,7,4260.0,5703511.5
32,8,4140.0,3503157.0
32,9,4320.0,2268191.0
33,0,4140.0,2413379.0
33,1,4140.0,3456911.2
33,2,4080.0,1507483.5
33,3,4020.0,3780617.0
33,4,4200.0,7717236.0
33,5,4200.0,4866683.0
33,6,4200.0,3799655.0
33,7,4200.0,5544118.0
33,8,4200.0,5573618.0
33,9,4200.0,3452780.5
34,0,4260.0,3499137.5
34,1,4140.0,2742869.0
34,2,4140.0,3382837.0
34,3,4140.0,3926883.0
34,4,3900.0,5132651.0
34,5,3900.0,1677206.5
34,6,4260.0,7307011.0
34,7,4260.0,7252820.0
34,8,4200.0,7971747.0
34,9,4200.0,4931959.0
35,0,4080.0,1825124.2
35,1,4260.0,4909228.0
35,2,4140.0,8743224.0
35,3,4200.0,6483565.0
35,4,4200.0,5248311.5
35,5,4200.0,2835432.0
35,6,4200.0,3731729.2
35,7,4140.0,4877127.0
35,8,4200.0,4955571.5
35,9,4260.0,6420020.0
36,0,4140.0,7487377.0
36,1,4140.0,3684761.5
36,2,4200.0,5123077.5
36,3,4140.0,3424751.0
36,4,4140.0,5857645.5
36,5,4200.0,2853050.5
36,6,4080.0,4026017.0
36,7,4260.0,5391190.5
36,8,4140.0,1497500.5
36,9,4260.0,5599500.0
37,0,3840.0,7400440.0
37,1,4200.0,8007847.5
37,2,4260.0,4807306.0
37,3,4200.0,4552625.0
37,4,4200.0,5314430.0
37,5,3780.0,5661227.0
37,6,4260.0,5826268.0
37,7,3900.0,6526356.0
37,8,4020.0,4710491.0
37,9,4080.0,3696558.8
38,0,4140.0,7892456.5
38,1,4200.0,4032475.8
38,2,4200.0,7600150.0
38,3,4260.0,4111286.2
38,4,4260.0,4908101.5
38,5,4320.0,4009098.5
38,6,4260.0,5338091.0
38,7,4140.0,4232576.0
38,8,4200.0,8029351.0
38,9,4200.0,6677862.5
39,0,4200.0,8192698.0
39,1,4200.0,8637555.0
39,2,4320.0,5039112.5
39,3,4200.0,7267894.0
39,4,4080.0,6781193.5
39,5,4200.0,6226254.5
39,6,4200.0,3026919.5
39,7,3660.0,3475198.8
39,8,4200.0,1365116.8
39,9,4200.0,6535299.0
40,0,4200.0,7679617.0
40,1,3660.0,5851119.0
40,2,4200.0,6182216.0
40,3,4200.0,7396306.0
40,4,4320.0,8260928.5
40,5,4200.0,9688467.0
40,6,4200.0,8395732.0
40,7,4200.0,8455670.0
40,8,4200.0,3827282.0
40,9,3600.0,7685451.0
41,0,4680.0,8417884.0
41,1,4140.0,5503905.0
41,2,4200.0,4688423.0
41,3,4260.0,5236330.0
41,4,3960.0,9636952.0
41,5,4140.0,7200718.5
41,6,4200.0,7084097.0
41,7,4200.0,4269289.5
41,8,4200.0,4838300.0
41,9,4260.0,5611992.0
42,0,3840.0,6592141.0
42,1,3900.0,6100719.5
42,2,4200.0,7497000.0
42,3,3960.0,4341263.0
42,4,4200.0,6346301.0
42,5,4200.0,8348773.5
42,6,4200.0,5335028.0
42,7,4140.0,7669508.5
42,8,4260.0,10745414.0
42,9,4200.0,5775185.0
43,0,3900.0,6238789.5
43,1,4020.0,6385421.0
43,2,4200.0,2013567.2
43,3,4200.0,9856870.0
43,4,4140.0,9129937.0
43,5,4200.0,11206138.0
43,6,4200.0,7586308.0
43,7,4200.0,5497863.0
43,8,4260.0,9117168.0
43,9,4260.0,6528032.0
44,0,4140.0,8814794.0
44,1,4200.0,7995074.0
44,2,4200.0,9747032.0
44,3,4200.0,4981119.0
44,4,4140.0,7220701.0
44,5,4200.0,3461581.8
44,6,4260.0,2452872.5
44,7,4200.0,7627996.0
44,8,4140.0,6738876.0
44,9,4200.0,6181861.5
45,0,4200.0,9584660.0
45,1,4200.0,6484283.0
45,2,4200.0,7575391.0
45,3,4140.0,14157656.0
45,4,4200.0,13638651.0
45,5,4200.0,10438388.0
45,6,4200.0,6953699.5
45,7,4140.0,9901823.0
45,8,4200.0,13167640.0
45,9,4200.0,13642475.0
46,0,3960.0,11463138.0
46,1,4140.0,9949743.0
46,2,4200.0,5949517.0
46,3,4020.0,9908086.0
46,4,3960.0,10765813.0
46,5,4260.0,5621042.5
46,6,3960.0,10545437.0
46,7,4680.0,6374347.5
46,8,4260.0,7602966.0
46,9,4140.0,11734172.0
47,0,4260.0,17238224.0
47,1,4200.0,12058182.0
47,2,3840.0,11062756.0
47,3,4200.0,12401350.0
47,4,4200.0,15233639.0
47,5,4140.0,8436953.0
47,6,4200.0,8877381.0
47,7,4200.0,7817565.0
47,8,4200.0,11515252.0
47,9,4200.0,10842908.0
48,0,4020.0,15735933.0
48,1,3960.0,7064659.5
48,2,3960.0,11556787.0
48,3,4200.0,10863228.0
48,4,3720.0,6471116.0
48,5,4200.0,8128935.5
48,6,4200.0,11484730.0
48,7,4200.0,12773966.0
48,8,4500.0,2127324.5
48,9,4200.0,9123184.0
49,0,3960.0,19006076.0
49,1,4140.0,9323840.0
49,2,4140.0,10062713.0
49,3,4260.0,8740166.0
49,4,4200.0,9737435.0
49,5,4200.0,11060074.0
49,6,3900.0,12395576.0
49,7,4200.0,7873866.0
49,8,4200.0,6761201.5
49,9,4200.0,12547658.0
50,0,4200.0,14496484.0
50,1,4200.0,9226402.0
50,2,4140.0,4866671.0
50,3,4260.0,7293563.0
===========================================2019-06-16 03:03:31.091929
0,0,3300.0,7422444.5
0,1,4200.0,7886524.0
0,2,4140.0,3291000.2
0,3,3900.0,2697491.0
0,4,3960.0,3461226.8
0,5,4260.0,2677250.2
0,6,4260.0,2518621.8
0,7,4200.0,939202.06
0,8,4140.0,1000911.1
0,9,4200.0,645612.6
1,0,4200.0,1150343.5
1,1,4140.0,1525336.0
1,2,4200.0,804237.7
1,3,4260.0,925049.44
1,4,3840.0,323942.78
1,5,4140.0,558007.25
1,6,4200.0,648012.1
1,7,4200.0,515722.62
1,8,4260.0,513591.4
1,9,4260.0,327527.1
2,0,4260.0,340206.84
2,1,4200.0,317167.38
2,2,4020.0,221379.33
2,3,4440.0,253098.69
2,4,4200.0,237672.8
2,5,4200.0,164883.44
2,6,4200.0,158301.5
2,7,4140.0,170388.97
2,8,4500.0,147986.9
2,9,4020.0,135621.45
3,0,3960.0,125181.49
3,1,3960.0,116562.75
3,2,4020.0,106153.914
3,3,4200.0,103318.516
3,4,4200.0,53160.51
3,5,4200.0,80813.6
3,6,3900.0,68067.77
3,7,4380.0,72494.016
3,8,4080.0,37544.21
3,9,3900.0,76599.625
4,0,4080.0,68805.8
4,1,4080.0,67028.05
4,2,4200.0,37414.08
4,3,3780.0,72086.69
4,4,4620.0,73539.945
4,5,4260.0,69505.984
4,6,4200.0,63677.375
4,7,4140.0,52921.414
4,8,4260.0,49057.85
4,9,4200.0,50454.625
5,0,4380.0,98963.125
5,1,4260.0,68897.79
5,2,4260.0,97947.39
5,3,4140.0,64342.617
5,4,4260.0,81466.234
5,5,4200.0,30898.967
